ID,Year,Event Name,Country,Longitude,Latitude,Date (UTC),Time (UTC),Magnitude,Depth,People injured,People killed,Buildings destroyed,Buildings damaged,Dwellings Destroyed,Dwellings damaged,People homeless,Direct economic loss (USD millions),adj Lon,adj Lat
71,2011,Tohoku,Japan,142.86,38.103,3/11/2011,5:46:00,9,24,6194,18131,129391,1066322,0,0,450000,211753,142.86,38.103
70,2011,Van Center,Turkey,43.36,38.75,10/23/2011,10:41:21,7.2,5,4152,604,0,0,41322,80793,60000,850,43.38,38.5
69,2011,Christchurch,New Zealand,172.68,-43.583,2/21/2011,23:51:00,6.1,5,7133,185,9200,146000,9000,148000,40000,16000,172.68,-43.583
68,2010,Port-au-Prince,Haiti,-72.57,18.45,1/12/2010,21:53:00,7,13,300000,230000,58562,51941,105000,208000,1300000,4245.3,-72.46,18.47
67,2010,Southern Qinghai,China,96.67,33.22,4/13/2010,23:49:00,6.9,17,12135,2698,0,15000,15000,0,100000,6445,96.67,33.22
66,2010,Maule (Bio-Bio),Chile,-72.733,-35.909,2/27/2010,6:34:14,8.8,35,12000,521,54,0,190358,179693,2000000,30000,-72.91,-36.72
65,2010,Darfield,New Zealand,172.12,-43.53,9/3/2010,16:35:00,7,5,2256,0,3000,120000,3000,134000,7000,6500,172.12,-43.53
64,2009,Samoa,Samoa,-172.03,-15.51,9/29/2009,17:48:10,8,18,700,184,833,3642,832,3474,8600,244,-172.4,-13.64
63,2009,Padang,Indonesia,99.856,-0.725,9/30/2009,10:16:00,7.6,81,2902,1117,2013,4658,114797,135036,1250000,2133.3,100.34,-0.94
62,2009,L'Aquila,Italy,13.33,42.33,4/6/2009,1:32:00,6.3,8.8,1550,308,3893,69591,0,0,49091,10212,13.37,42.34
61,2008,Wenchuan,China,103.364,30.9858,5/12/2008,6:28:00,7.9,19,374176,69196,6000000,23143000,1895540,6144430,4800000,141000,103.51,31
60,2007,Pisco,Peru,-76.509,-13.354,8/15/2007,23:40:00,8,39,2615,595,58581,13585,0,0,0,800,-76.19,-13.58
59,2006,South of Java,Indonesia,107.41,-9.25,7/17/2006,8:19:28,7.7,34,9299,668,1488,176,1098,110,5172,54.72,109.16,-7.95
58,2006,Yogyakarta,Indonesia,110.446,-7.961,5/26/2006,22:53:00,6.3,17.1,38568,5778,157000,480000,248959,767067,562914,2446,110.45,-7.94
57,2005,Kashmir,Pakistan,73.58,34.47,10/8/2005,3:50:00,7.6,23.1,134589,74551,0,0,489860,175067,3500000,6195.05,73.48,34.39
